timestamp,endpoint,latency,error_rate,request_rate,error_category
2026-03-13T23:23:56+00:00,api/normal,2.96,0,1,none
2026-03-13T23:23:56+00:00,api/normal,0.48,0,1,none
2026-03-13T23:23:56+00:00,api/normal,0.46,0,1,none
2026-03-13T23:23:56+00:00,api/normal,0.45,0,1,none
2026-03-13T23:23:56+00:00,api/normal,0.5,0,1,none
2026-03-13T23:23:57+00:00,api/slow,1075.11,0,1,none
2026-03-13T23:23:57+00:00,api/normal,0.54,0,1,none
2026-03-13T23:23:57+00:00,api/normal,0.48,0,1,none
2026-03-13T23:23:57+00:00,api/normal,0.62,0,1,none
2026-03-13T23:23:57+00:00,api/normal,0.92,0,1,none
2026-03-13T23:23:57+00:00,api/normal,0.47,0,1,none
2026-03-13T23:23:57+00:00,api/normal,0.86,0,1,none
2026-03-13T23:24:03+00:00,api/slow,6002.84,0,1,TIMEOUT_ERROR
2026-03-13T23:24:03+00:00,api/error,24.06,1,1,SYSTEM_ERROR
2026-03-13T23:24:03+00:00,api/normal,0.93,0,1,none
2026-03-13T23:24:03+00:00,api/normal,0.83,0,1,none
2026-03-13T23:24:03+00:00,api/normal,0.92,0,1,none
2026-03-13T23:24:03+00:00,api/normal,0.87,0,1,none
2026-03-13T23:24:03+00:00,api/normal,0.91,0,1,none
2026-03-13T23:24:03+00:00,api/normal,0.76,0,1,none
2026-03-13T23:24:09+00:00,api/slow,6011.83,0,1,TIMEOUT_ERROR
2026-03-13T23:24:09+00:00,api/normal,4.53,0,1,none
2026-03-13T23:24:09+00:00,api/normal,0.84,0,1,none
2026-03-13T23:24:10+00:00,api/error,4.1,1,1,SYSTEM_ERROR
2026-03-13T23:24:10+00:00,api/normal,0.87,0,1,none
2026-03-13T23:24:10+00:00,api/normal,0.94,0,1,none
2026-03-13T23:24:10+00:00,api/normal,0.85,0,1,none
2026-03-13T23:24:10+00:00,api/normal,0.96,0,1,none
2026-03-13T23:24:10+00:00,api/normal,1.3,0,1,none
2026-03-13T23:24:10+00:00,api/db,8.54,0,1,none
2026-03-13T23:24:10+00:00,api/normal,2.52,0,1,none
2026-03-13T23:24:10+00:00,api/normal,3.54,0,1,none
2026-03-13T23:24:11+00:00,api/slow,1562.45,0,1,none
2026-03-13T23:24:11+00:00,api/normal,0.54,0,1,none
2026-03-13T23:24:11+00:00,api/normal,0.8,0,1,none
2026-03-13T23:24:11+00:00,api/normal,1.16,0,1,none
2026-03-13T23:24:11+00:00,api/normal,0.85,0,1,none
2026-03-13T23:24:11+00:00,api/validate,1.54,1,1,UNKNOWN
2026-03-13T23:24:12+00:00,api/normal,0.68,0,1,none
2026-03-13T23:24:12+00:00,api/normal,1.35,0,1,none
2026-03-13T23:24:17+00:00,api/slow,5002.72,0,1,TIMEOUT_ERROR
2026-03-13T23:24:17+00:00,api/normal,2.91,0,1,none
2026-03-13T23:24:17+00:00,api/normal,5.15,0,1,none
2026-03-13T23:24:17+00:00,api/normal,0.88,0,1,none
2026-03-13T23:24:18+00:00,api/slow,1221,0,1,none
2026-03-13T23:24:18+00:00,api/normal,0.61,0,1,none
2026-03-13T23:24:18+00:00,api/normal,0.6,0,1,none
2026-03-13T23:24:18+00:00,api/normal,0.61,0,1,none
2026-03-13T23:24:18+00:00,api/normal,0.56,0,1,none
2026-03-13T23:24:18+00:00,api/db,2.18,0,1,none
2026-03-13T23:24:18+00:00,api/normal,0.49,0,1,none
2026-03-13T23:24:25+00:00,api/slow,7009.66,0,1,TIMEOUT_ERROR
2026-03-13T23:24:25+00:00,api/normal,1.32,0,1,none
2026-03-13T23:24:26+00:00,api/slow,1345.95,0,1,none
2026-03-13T23:24:26+00:00,api/normal,0.67,0,1,none
2026-03-13T23:24:26+00:00,api/normal,0.67,0,1,none
2026-03-13T23:24:27+00:00,api/normal,0.73,0,1,none
2026-03-13T23:24:27+00:00,api/validate,1.97,1,1,UNKNOWN
2026-03-13T23:24:27+00:00,api/normal,0.81,0,1,none
2026-03-13T23:24:27+00:00,api/normal,0.67,0,1,none
2026-03-13T23:24:27+00:00,api/normal,0.67,0,1,none
2026-03-13T23:24:27+00:00,api/normal,0.69,0,1,none
2026-03-13T23:24:27+00:00,api/validate,1.74,1,1,UNKNOWN
2026-03-13T23:24:32+00:00,api/slow,5009.25,0,1,TIMEOUT_ERROR
2026-03-13T23:24:32+00:00,api/db,2.98,0,1,none
2026-03-13T23:24:38+00:00,api/slow,6009.84,0,1,TIMEOUT_ERROR
2026-03-13T23:24:38+00:00,api/normal,1.4,0,1,none
2026-03-13T23:24:38+00:00,api/normal,0.81,0,1,none
2026-03-13T23:24:38+00:00,api/normal,0.8,0,1,none
2026-03-13T23:24:38+00:00,api/normal,0.8,0,1,none
2026-03-13T23:24:38+00:00,api/normal,0.89,0,1,none
2026-03-13T23:24:38+00:00,api/normal,0.91,0,1,none
2026-03-13T23:24:40+00:00,api/slow,1975.34,0,1,none
2026-03-13T23:24:42+00:00,api/slow,1655.61,0,1,none
2026-03-13T23:24:42+00:00,api/normal,1.31,0,1,none
2026-03-13T23:24:42+00:00,api/normal,1.33,0,1,none
2026-03-13T23:24:43+00:00,api/slow,1650.4,0,1,none
2026-03-13T23:24:43+00:00,api/normal,0.78,0,1,none
2026-03-13T23:24:43+00:00,api/normal,0.84,0,1,none
2026-03-13T23:24:43+00:00,api/normal,1.72,0,1,none
2026-03-13T23:24:43+00:00,api/normal,0.81,0,1,none
2026-03-13T23:24:43+00:00,api/normal,0.75,0,1,none
2026-03-13T23:24:43+00:00,api/normal,0.84,0,1,none
2026-03-13T23:24:44+00:00,api/normal,0.86,0,1,none
2026-03-13T23:24:44+00:00,api/error,10.71,1,1,SYSTEM_ERROR
2026-03-13T23:24:44+00:00,api/normal,0.92,0,1,none
2026-03-13T23:24:49+00:00,api/slow,5011.18,0,1,TIMEOUT_ERROR
2026-03-13T23:24:49+00:00,api/normal,1.25,0,1,none
2026-03-13T23:24:51+00:00,api/slow,1774.53,0,1,none
2026-03-13T23:24:52+00:00,api/slow,1838.42,0,1,none
2026-03-13T23:24:52+00:00,api/normal,0.65,0,1,none
2026-03-13T23:24:52+00:00,api/normal,0.43,0,1,none
2026-03-13T23:24:52+00:00,api/normal,0.5,0,1,none
