timestamp,avg_latency,max_latency,request_rate,error_rate,latency_std,errors_per_window,endpoint_frequency
"2026-03-13 23:23:00",90.320833333333,1075.11,1,0,296.92586705153,0,2
"2026-03-13 23:24:00",526.36831858407,7009.66,1,0.088495575221239,1436.2490882666,10,5
"2026-03-13 23:25:00",512.35628571429,6010.79,1,0.095238095238095,1335.5230703527,10,5
"2026-03-13 23:26:00",361.23754385965,6006.31,1,0.093567251461988,999.94232606952,16,5
"2026-03-13 23:27:00",857.71196969697,7007.04,1,0.03030303030303,1761.8522825366,2,4
"2026-03-13 23:28:00",599.5697029703,7013.76,1,0.059405940594059,1491.9960588084,6,4
"2026-03-13 23:29:00",551.77603960396,7009.74,1,0.02970297029703,1484.9616779488,3,4
"2026-03-13 23:30:00",463.80327868852,7010.13,1,0.10655737704918,1233.7062523002,13,5
"2026-03-13 23:31:00",720.70305882353,7009.35,1,0.10588235294118,1798.3872380703,9,5
"2026-03-13 23:32:00",1033.4685714286,7010.96,1,0.089285714285714,1936.7979957038,5,5
"2026-03-13 23:33:00",348.88652694611,6007.64,1,0.065868263473054,921.70164572926,11,4
"2026-03-13 23:34:00",643.61791208791,7009.05,1,0.098901098901099,1524.2200425161,9,5
"2026-03-13 23:35:00",492.27495726496,6009.42,1,0.1025641025641,955.06861830507,12,5
"2026-03-13 23:36:00",973.7135,7013.42,1,0.05,2002.5725832279,3,5
"2026-03-13 23:37:00",513.68303571429,7008.11,1,0.0625,1397.0547051532,7,5
"2026-03-13 23:38:00",608.55694736842,7009.04,1,0.052631578947368,1552.391905571,5,4
"2026-03-13 23:39:00",504.14905982906,6015.05,1,0.1025641025641,1349.4922979846,12,5
"2026-03-13 23:40:00",378.9434,7006.26,1,0.08,1079.2550751364,12,5
"2026-03-13 23:41:00",503.3507826087,7014.71,1,0.052173913043478,1210.7989228196,6,5
"2026-03-13 23:42:00",790.07432432432,7007.33,1,0.040540540540541,1561.8621628892,3,3
"2026-03-13 23:43:00",615.70277777778,7012.45,1,0.1,1483.5015732546,9,5
"2026-03-13 23:44:00",534.84365217391,6003.76,1,0.069565217391304,1238.9205924382,8,5
"2026-03-13 23:45:00",872.95984375,7009.55,1,0.0625,1708.6903868529,4,5
"2026-03-13 23:46:00",483.67049180328,7020.25,1,0.081967213114754,1470.0857940983,10,5
"2026-03-13 23:47:00",612.98092783505,6011.83,1,0.061855670103093,1376.4898798277,6,5
"2026-03-13 23:48:00",548.89171717172,7015.12,1,0.090909090909091,1515.0567869005,9,5
"2026-03-13 23:49:00",308.55994535519,7015.58,1,0.081967213114754,1125.1057816184,15,5
"2026-03-13 23:50:00",615.5356043956,7010.18,1,0.054945054945055,1577.2035344912,5,5
"2026-03-13 23:51:00",690.59408602151,7012.15,1,0.096774193548387,1756.7826702231,9,5
"2026-03-13 23:52:00",423.10773722628,7013.87,1,0.043795620437956,1245.7654496857,6,5
"2026-03-13 23:53:00",353.14108108108,7009.41,1,0.074324324324324,1108.6431883279,11,5
"2026-03-13 23:54:00",992.75898305085,7006.7,1,0.050847457627119,1887.652009075,3,5
"2026-03-13 23:55:00",550.22219298246,7007.43,1,0.096491228070175,1233.7403840709,11,5
"2026-03-13 23:56:00",557.33731958763,7011.51,1,0.072164948453608,1540.7258438222,7,4
"2026-03-13 23:57:00",491.89632,7007.19,1,0.04,1185.814527147,5,5
"2026-03-13 23:58:00",502.48675925926,7011.53,1,0.074074074074074,1256.9332368896,8,5
"2026-03-13 23:59:00",602.2362244898,7008.08,1,0.10204081632653,1558.2628893474,10,5
"2026-03-14 00:00:00",616.27593406593,7009.45,1,0.032967032967033,1516.4462814919,3,4
"2026-03-14 00:01:00",685.43847826087,7006.39,1,0.076086956521739,1544.5842439627,7,4
"2026-03-14 00:02:00",431.77664122137,7006.08,1,0.10687022900763,1196.9458192669,14,5
"2026-03-14 00:03:00",507.24282051282,7012.6,1,0.076923076923077,1276.1156572834,9,5
"2026-03-14 00:04:00",949.00258064516,7010.15,1,0.048387096774194,2012.5791002495,3,5
"2026-03-14 00:05:00",607.26547368421,7010.43,1,0.084210526315789,1458.8565058759,8,5
"2026-03-14 00:06:00",482.99846153846,7015.14,1,0.076923076923077,1447.2030139192,9,5
"2026-03-14 00:07:00",581.8075,6014.27,1,0.054347826086957,1381.8255308166,5,5
"2026-03-14 00:08:00",590.38972222222,7015.37,1,0.055555555555556,1394.3946772813,6,5
"2026-03-14 00:09:00",394.07489208633,7014.62,1,0.071942446043165,1117.2919927348,10,5
"2026-03-14 00:10:00",456.771875,7016.06,1,0.1015625,1262.459056024,13,5
"2026-03-14 00:11:00",674.64685393258,7014.18,1,0.089887640449438,1650.2831116383,8,5
"2026-03-14 00:12:00",448.89159663866,7009.69,1,0.067226890756303,1256.9514151986,8,5
"2026-03-14 00:13:00",621.7796039604,7007.05,1,0.069306930693069,1545.231775037,7,5
"2026-03-14 00:14:00",414.85014285714,6014.48,1,0.10714285714286,1129.4076284394,15,5
"2026-03-14 00:15:00",455.39798387097,6008.23,1,0.032258064516129,1060.1068124007,4,4
"2026-03-14 00:16:00",300.96413978495,7013.03,1,0.06989247311828,968.37608523075,13,5
"2026-03-14 00:17:00",373.10828025478,7013.11,1,0.10191082802548,974.38766563304,16,5
"2026-03-14 00:18:00",617.59873684211,7015.43,1,0.073684210526316,1526.8433784602,7,5
"2026-03-14 00:19:00",737.32064102564,7012.11,1,0.038461538461538,1641.7881643144,3,5
"2026-03-14 00:20:00",550.11613207547,7007.77,1,0.075471698113208,1331.3169491278,8,5
"2026-03-14 00:21:00",555.08352380952,7008.23,1,0.047619047619048,1488.3502446458,5,5
"2026-03-14 00:22:00",460.57373015873,7012.96,1,0.079365079365079,1268.5274227327,10,5
"2026-03-14 00:23:00",275.36030456853,7012.33,1,0.040609137055838,870.85049272717,8,4
"2026-03-14 00:24:00",385.61472222222,7009.21,1,0.076388888888889,1214.6894452704,11,5
"2026-03-14 00:25:00",747.40168831169,7008.08,1,0.051948051948052,1600.8347034954,4,5
"2026-03-14 00:26:00",517.22612068966,7015.85,1,0.10344827586207,1392.4217372366,12,5
"2026-03-14 00:27:00",648.28576086957,7017.06,1,0.08695652173913,1664.6327912912,8,5
"2026-03-14 00:28:00",432.43403100775,6011.79,1,0.077519379844961,1252.3650196313,10,5
"2026-03-14 00:29:00",476.7689516129,7014.61,1,0.064516129032258,1270.2390149723,8,5
"2026-03-14 00:30:00",393.17767123288,7004.38,1,0.034246575342466,1147.7876056153,5,4
